vin,bodystyle,exterior_color,fuel_type,make,mileage,model,price,trim,year
2CTFLREC1B6273956,SUV,Quicksilver Metallic,Gasoline,GMC,105178,Terrain,10667,SLE-1,2011
5N1AN08W79C501764,SUV,Night Armor,Gasoline,Nissan,105934,Xterra,14999,SE,2009
JF1ZNAA12H9707460,Coupe,Orange,Gasoline,Toyota,31063,86,24995,Base,2017
5YMKT6C31H0U39543,SUV,Black Sapphire Metallic,Gasoline,BMW,39900,X5 M,63995,Base,2017
2LNHM82V38X640016,Sedan,Silver,E85 Flex Fuel,Lincoln,129947,Town Car,9995,Signature Limited,2008
ZAM45KLA6C0063512,Coupe,NULL,Gasoline,Maserati,50585,GranTurismo,35941,S Automatic,2012
W1KZF8KB5MA935281,Sedan,Obsidian Black,Gasoline,Mercedes-Benz,5790,AMG E 63,118667,S 4MATIC,2021
JACCN57X217D00597,SUV,Proton Yellow,Gasoline,Isuzu,103567,VehiCROSS,15998,LX,2001
WBA3A9C5XDF475970,Sedan,Black,Gasoline,BMW,145299,335,15995,i,2013
58ADA1C10NU022447,Sedan,Red,Hybrid,Lexus,1786,ES 300h,50899,300H,2022
4JGDA5GB8KB204325,SUV,Black,Gasoline,Mercedes-Benz,18846,GLE 400,47891,Base 4MATIC,2019
WDZPE7CC5E5877141,Sedan,White,Diesel,Mercedes-Benz,28790,Sprinter,49999,Normal Roof,2014
1GNSK2E03CR280592,SUV,Black,E85 Flex Fuel,Chevrolet,153128,Tahoe,13491,Special Services,2012
KMUMCDTC8NU011492,SUV,Vik Black,Gasoline,Genesis,12678,GV70,62536,3.5T Sport,2022
W04GU8SX8J1087390,Wagon,White,Gasoline,Buick,36409,Regal TourX,29995,Preferred,2018
WBS2U7C07M7G70297,Coupe,Long Beach Blue Metallic,Gasoline,BMW,24312,M2,59995,Competition,2021
1N4BL4DV5NN376044,Sedan,White,Gasoline,Nissan,629,Altima,26633,2.5 SV,2022
JA3AU86WX9U014608,Sedan,Black,Gasoline,Mitsubishi,126527,Lancer,6900,GTS,2009
5J6YH28524L006436,SUV,Green,Gasoline,Honda,98484,Element,11995,EX,2004
JTHFN48Y450062780,Convertible,White,Gasoline Fuel,Lexus,58277,SC 430,21900,Base,2005
WA1FVAF12LD022333,SUV,Galaxy Blue Metallic,Gasoline,Audi,17109,Q8,79995,55 Premium,2020
WD4PG2EE7G3112027,Passenger Van,Indium Gray Metallic,Gasoline,Mercedes-Benz,73866,Metris,27495,Base,2016
JN8AZ2NFXB9500110,SUV,Moonlight White,Gasoline,INFINITI,112803,QX56,12997,Base,2011
2LMHJ5AT6FBL01921,SUV,Luxe Metallic,Gasoline,Lincoln,65418,MKT,22983,EcoBoost,2015
WDBSK71F59F143422,Convertible,Dark Blue,Gasoline,Mercedes-Benz,51808,SL-Class,28500,SL550 Roadster,2009
5UXCX6C00N9M37229,SUV,Special,Gasoline,BMW,4486,X7,120532,M50i,2022
2G61M5S3XJ9174357,Sedan,Black,Gasoline,Cadillac,43792,XTS,16995,Luxury,2018
1C4SJVEJXNS124003,SUV,Gray,Gasoline,Jeep,1663,Grand Wagoneer,89991,Series I,2022
3VVCB7AX3NM035861,SUV,Pure White,Gasoline,Volkswagen,5889,Tiguan,33550,SE R-Line Black,2022
3VW6T7BU6MM008260,Sedan,Pyrite Silver Metallic,Gasoline,Volkswagen,21164,Jetta GLI,31990,2.0T Autobahn,2021
WBAYB6C58ED224735,Sedan,Black,Gasoline,BMW,50385,750,28950,i xDrive,2014
1FATP8UH0J5156282,Convertible,Gray,Gasoline,Ford,56929,Mustang,26999,EcoBoost Premium,2018
YV4BR0DK8M1821029,SUV,Black,Hybrid,Volvo,7708,XC60 Recharge Plug-In Hybrid,49999,T8 Inscription Expression,2021
4JGFD6BB5NA588670,SUV,Mojave Silver Metallic,Gasoline,Mercedes-Benz,3482,AMG GLE 53,109990,Base,2022
4JGFD6BB6NA731982,SUV,White,Gasoline,Mercedes-Benz,4312,AMG GLE 53,130595,Base,2022
1FADP5EU1HL102431,Hatchback,White Gold Metallic,Hybrid,Ford,52956,C-Max Energi,17995,SE,2017
KMHRB8A39NU141458,SUV,Stellar Silver,Gasoline,Hyundai,9798,Venue,19998,SE,2022
W1K6X7GB2MA023940,Sedan,Red,Gasoline,Mercedes-Benz,1900,Maybach S 580,224999,4MATIC,2021
SCFBB03B88GC08733,Coupe,Jet Black,Gasoline,Aston Martin,45685,V8 Vantage,42995,Base,2008
19VDE1F74DE012672,Sedan,NULL,Gasoline,Acura,132975,ILX,10895,2.0L,2013
1G6YV34A155600189,Convertible,Black,Gasoline,Cadillac,110000,XLR,15600,Base,2005
YV4A22PK2H1185804,SUV,Gray,Gasoline,Volvo,39303,XC90,37998,T6 Momentum,2017
19XZE4F54NE007146,Sedan,White,Hybrid,Honda,7340,Insight,31995,EX,2022
W1KAF4GB3NR042494,Sedan,Moonlight White,Gasoline,Mercedes-Benz,1751,C-Class,49844,C 300,2022
3VW6T7BUXMM027166,Sedan,Tornado Red w/ Black Roof,Gasoline,Volkswagen,9612,Jetta GLI,30572,2.0T Autobahn,2021
2GTEC13TX41412736,Pickup Truck,White,Gasoline,GMC,99397,Sierra 1500,13999,SLE,2004
KMUMCDTC2NU017370,SUV,Red,Gasoline,Genesis,5719,GV70,63544,3.5T Sport,2022
2HNYB1H64AH502786,SUV,Pearl White,Gasoline,Acura,109780,ZDX,16999,LX,2010
WUAC6AFH8EN900477,Convertible,Phantom Black Pearl Effect / Black Roof,Gasoline,Audi,56261,RS 5,43981,4.2,2014
5J6TF2H55CL008647,SUV,Crystal Black Pearl,Gasoline,Honda,95074,Crosstour,15880,EX-L,2012
WDDUG8JB8JA345211,Sedan,designo Diamond White Metallic,Gasoline,Mercedes-Benz,53088,AMG S 63,91900,Base 4MATIC,2018
YV4612UM3G2000652,Sedan,Gray Metallic,Gasoline,Volvo,78282,S60 Cross Country,24588,T5 Platinum,2016
1G6YX36D465602490,Convertible,Black Raven,Gasoline,Cadillac,48882,XLR,36798,V,2006
5N1BA08A67N720804,SUV,Silver Lightning,E85 Flex Fuel,Nissan,93628,Armada,16999,LE,2007
5FRYD4H78HB012828,SUV,White Diamond Pearl,Gasoline,Acura,89508,MDX,34995,3.5L w/Technology & Entertainment Pkgs,2017
YV4BR0CK3K1449940,SUV,Ice White,Hybrid,Volvo,37630,XC90 Hybrid,58487,T8 Momentum,2019
WVWVA7AUXKW197126,Hatchback,Oryx White Pearl Effect,Gasoline,Volkswagen,13056,Golf R,42998,2.0T w/DCC & Navigation,2019
5LMJJ2LTXMEL10547,SUV,Black,Gasoline,Lincoln,15077,Navigator,80711,Reserve,2021
JTHBF1D2XF5048995,Sedan,Black,Gasoline,Lexus,73866,IS 250,25999,Base (A6),2015
WBAJV6C5XKBK08147,Hatchback,Carbon Black Metallic,Gasoline,BMW,41546,640 Gran Turismo,44880,i xDrive,2019
WDDYJ7HAXHA010553,Coupe,Magnetite Black Metallic,Gasoline,Mercedes-Benz,50225,AMG GT,79880,AMG GT,2017
LYVBR0DM5KB242459,SUV,Onyx Black Metallic,Hybrid,Volvo,20052,XC60 Hybrid,51880,T8 R-Design,2019
ZHWGU6BZ4DLA12555,Convertible,Nero Noctis,Gasoline,Lamborghini,30625,Gallardo,138995,LP550-2,2013
WP0AC2A8XLK289232,Coupe,Blue,Gasoline,Porsche,3302,718 Cayman,144995,GT4,2020
5BZBF0AA9CN200784,Passenger Van,Blizzard,Gasoline,Nissan,10440,NV Passenger,35999,3500 S,2012
JNKBV61F27M814197,Sedan,Gray,Gasoline,INFINITI,94950,G35x,12499,Base,2007
HLB210827777,Sedan,Green,NULL,Datsun,15502,B210,12998,B210,1977
WDDJK7DA5JF053548,Convertible,Black,Gasoline,Mercedes-Benz,15131,SL 550,89950,Base,2018
KMHEC4A48EA113634,Sedan,Venetian Red Pearl,Hybrid,Hyundai,39796,Sonata Hybrid,19999,Base,2014
WA1EVAF19MD014159,SUV,Navarra Blue Metallic,Gasoline,Audi,21275,Q8,71998,55 Premium,2021
JTHC51FF8J5001500,Sedan,Caviar,Gasoline,Lexus,16676,LS 500,53995,LX,2018
3C6TRVAG1EE122478,Cargo Van,Granite Crystal Clearcoat Metallic,Gasoline,RAM,45298,ProMaster 1500,32676,Tradesman,2014
WBSEH93456B798051,Coupe,Black,Gasoline,BMW,70440,M6,21995,LX,2006
3VW547AU2JM295022,Hatchback,Pure White,Gasoline,Volkswagen,49315,Golf GTI,22984,2.0T SE 4-Door,2018
WD4PG2EE1K3606151,Passenger Van,Brilliant Silver Metallic,Gasoline,Mercedes-Benz,49732,Metris,35900,Base,2019
1FMJK2AT8MEA24831,SUV,Agate Black Metallic,Gasoline,Ford,6841,Expedition Max,77999,Limited,2021
ZAM45VMA9D0070181,Convertible,Nero Carbonio Metallic,Gasoline,Maserati,17540,GranTurismo,62777,Sport,2013
JTHBF5C24D5186649,Sedan,Tungsten Pearl,Gasoline,Lexus,72559,IS 250,15995,Base,2013
50EA1DCA0NA001983,Sedan,Black,Electric,Lucid,2334,Air,209895,Dream Edition,2022
W1NYC7HJ8LX354126,SUV,Obsidian Black Metallic,Gasoline,Mercedes-Benz,15436,G-Class,214990,AMG G 63,2020
5LMJJ3HT1HEL00574,SUV,Palladium White Gold Metallic,Gasoline,Lincoln,101524,Navigator L,31975,Select,2017
WBXYJ1C02M5S04022,SUV,Alpine White,Gasoline,BMW,30063,X2,35999,xDrive28i,2021
YV1672MC8DJ141219,Convertible,Ice White,Gasoline,Volvo,65305,C70,21989,T5,2013
1GAZGPFG6H1152377,Passenger Van,Graphite Metallic,Gasoline,Chevrolet,53536,Express 3500,39878,LT,2017
19UDE2F80GA013106,Sedan,Blue,Gasoline,Acura,48560,ILX,24777,2.4L,2016
WBS4Y9C58JAG66892,Coupe,Laguna Seca Blue,Gasoline,BMW,40044,M4,48999,Base,2018
KNALB4J18H5042918,Sedan,Blue,Gasoline,Kia,37482,Cadenza,19999,Premium,2017
1GTW7FFA7D1150860,Cargo Van,Summit White,E85 Flex Fuel,GMC,82110,Savana 2500,28888,Work Van,2013
YV4952CZ3E1691277,SUV,Caspian Blue Metallic,Gasoline,Volvo,111829,XC90,15200,3.2,2014
JA4J2VA73MZ000903,SUV,Diamond White Pearl,Hybrid,Mitsubishi,12514,Outlander PHEV,34495,GT,2021
5YM13EC02N9K80065,SUV,Carbon Black Metallic,Gasoline,BMW,4986,X3 M,79631,AWD,2022
WBSGV0C0XNCJ31477,Sedan,Gray Metallic,Gasoline,BMW,1724,M8,127883,Competition Gran Coupe,2022
4T1BK1EB7HU261113,Sedan,Silver,Gasoline,Toyota,45529,Avalon,25997,XLE Touring,2017
KNDRGDLG7N5085593,SUV,Snow White Pearl,Hybrid,Kia,28317,Sorento Hybrid,40488,S,2022
3C6TRVAGXFE502968,Cargo Van,Bright White Clearcoat,Gasoline,RAM,84092,ProMaster 1500,29982,Low Roof,2015
5FPYK3F76NB022068,Pickup Truck,Radiant Red Metallic II,Gasoline,Honda,690,Ridgeline,46697,RTL-E,2022
1G1ZF575X9F172513,Sedan,Black,Hybrid,Chevrolet,85188,Malibu Hybrid,7995,LX,2009
WA1BV74L58D068106,SUV,Phantom Black Pearl,Gasoline,Audi,160610,Q7,7999,4.2 Premium,2008
3G0FNSEY3BS800242,SUV,Zodiac Black Metallic,Gasoline,Saab,29840,9-4X,17490,3.0i Premium,2011
6G2EC57Y48L147221,Sedan,Orange,Gasoline,Pontiac,99801,G8,19999,GT,2008
JTEEU5JR9N5263758,SUV,Black,Gasoline,Toyota,13566,4Runner,42995,SR5,2022
SHHFK8G76JU203787,Hatchback,Crystal Black Pearl,Gasoline,Honda,28431,Civic Type R,40991,Touring,2018
1FMJU1K52EEF58980,SUV,Ingot Silver Metallic,E85 Flex Fuel,Ford,68089,Expedition,22790,Limited,2014
WAUTPBFF7HA036447,Hatchback,Mythos Black Metallic,Hybrid,Audi,59065,A3 e-tron,27498,1.4T Premium,2017
JN8AY2NE7H9704933,SUV,White,Gasoline,Nissan,74867,Armada,31999,Platinum,2017
5UXKT0C51G0S75473,SUV,Space Gray Metallic,Hybrid,BMW,59109,X5 eDrive,31999,xDrive40e,2016
2LMTJ8LP4GBL55022,SUV,Platinum,Gasoline,Lincoln,62784,MKX,25835,Reserve,2016
WBAYF8C50ED141977,Sedan,Dark Graphite Metallic,Gasoline,BMW,58246,750,30967,Li xDrive,2014
1G4ZP5SS7HU167759,Sedan,Pepperdust Metallic,Gasoline,Buick,19758,LaCrosse,24998,Essence,2017
WP0AA2Y17MSA15618,Sedan,Black,Electric,Porsche,26225,Taycan,104995,Base,2021
JM1GL1V53H1131431,Sedan,Sonic Silver Metallic,Gasoline,Mazda,66869,Mazda6,21500,Touring,2017
WA1BNAFYXL2005349,SUV,Manhattan Gray Metallic,Gasoline,Audi,15768,Q5,45995,45 Premium Plus,2020
1GYKNBRS9HZ121170,SUV,Black,Gasoline,Cadillac,31633,XT5,33998,Luxury,2017
1GNSKJKC7LR305793,SUV,Blue,Gasoline,Chevrolet,40002,Suburban,66950,Premier,2020
WA1BNAFY4L2068947,SUV,Florett Silver Metallic,Gasoline,Audi,19566,Q5,44570,45 Premium Plus,2020
SJKCH5CR0JA045090,SUV,Graphite Shadow,Gasoline,INFINITI,25952,QX30,29488,Premium,2018
1FDZK1CMXFKB31614,Sedan,Oxford White,E85 Flex Fuel,Ford,76448,Transit-150,32498,XLT,2015
2LMTJ6LR8GBL25611,SUV,Platinum Dune Metallic,Gasoline,Lincoln,81314,MKX,22900,Reserve,2016
137ZA8435YE189446,SUV,UNSPECIFIED,Diesel,Am General,106464,Hummer,89995,Wagon,2000
WMWLN9C50J2E51090,Wagon,White,Gasoline,MINI,24903,Clubman,24995,Cooper S,2018
SJKCH5CRXJA044450,SUV,White,Gasoline,INFINITI,23361,QX30,29998,Luxury,2018
SJKCH5CP7HA031342,SUV,Graphite Shadow,Gasoline,INFINITI,32988,QX30,26788,Premium,2017
JTDKARFU3L3114629,Hatchback,Classic Silver Metallic,Hybrid,Toyota,57675,Prius,28995,LE,2020
5FPYK3F89NB010764,Pickup Truck,Platinum White Pearl,Gasoline,Honda,2881,Ridgeline,51350,Black,2022
SCAXZ8C09LU118325,Convertible,Arctic White,Gasoline,Rolls-Royce,3350,Dawn,398500,LX,2020
1C4BJWDGXHL521768,SUV,Bright White Clearcoat,Gasoline,Jeep,74370,Wrangler Unlimited,30000,Sport,2017
3C6LRVDG3ME554404,Cargo Van,Bright White Clearcoat,Gasoline,RAM,21379,ProMaster 2500 Window Van,49995,LX,2021
2HNYB1H67DH000021,SUV,Palladium Metallic,Gasoline,Acura,7645,ZDX,42998,Base,2013
WA12ABGE0LB035918,SUV,Typhoon Gray Metallic,Electric,Audi,17582,e-tron,66981,Premium Plus,2020
WBA7F2C56KB239573,Sedan,Alpine White,Gasoline,BMW,24219,750,59880,i xDrive,2019
WAUB1GFF0G1013004,Sedan,Sepang Blue Pearl Effect,Gasoline,Audi,85963,S3,25980,2.0T Premium Plus,2016
JF2SKAXCXMH414999,SUV,Crystal White Pearl,Gasoline,Subaru,12421,Forester,38890,Touring,2021
1GYUKBEF3AR199928,SUV,Black,E85 Flex Fuel,Cadillac,105315,Escalade,23999,Luxury,2010
2G61M5S30J9176120,Sedan,Radiant Silver Metallic,Gasoline,Cadillac,40585,XTS,35970,Luxury,2018
WAUBGCFL0BA049488,Sedan,White,Gasoline,Audi,65942,S4,24850,3.0 Premium Plus,2011
JN1CV6FE9FM810252,Convertible,White,Gasoline,INFINITI,38952,Q60 IPL,34988,Base,2015
JTHBA1D29J5076021,Sedan,Obsidian Black,Gasoline,Lexus,36551,IS 300,32980,Base,2018
1V2WR2CA9NC542783,SUV,Deep Black Pearl Effect,Gasoline,Volkswagen,757,Atlas,44888,3.6L SE w/Technology,2022
WA1C4BFY9M2002232,SUV,Glacier White Metallic,Gasoline,Audi,14844,SQ5,63525,3.0T Premium,2021
JTHBA30G145016378,Sedan,Silver,Gasoline,Lexus,107566,ES 330,12982,LX,2004
WBA3R1C58GK530213,Coupe,Black Sapphire Metallic,Gasoline,BMW,42885,435,29551,i,2016
JN8AY2NE7JX700074,SUV,White,Gasoline,Nissan,54474,Armada,41971,Platinum,2018
WDDHF5KB9GB231464,Sedan,White,Gasoline,Mercedes-Benz,71669,E-Class,25999,E 350,2016
WBS4Y9C55JAC87185,Coupe,Mineral Grey Metallic,Gasoline,BMW,45066,M4,52947,Base,2018
2G1FS1EWXC9178704,Coupe,Black,Gasoline,Chevrolet,71370,Camaro,18850,1SS,2012
ZFF98RNA6N0270753,Coupe,Nero,Gasoline,Ferrari,7059,Roma,317895,Base,2022
19UNC1B06HY000440,Coupe,Burgundy,Hybrid,Acura,9591,NSX,158995,Coupe,2017
1C3EW65G72V100281,Convertible,NULL,Gasoline,Chrysler,14930,Prowler,55000,LX,2002
3MYDLBJV9LY706216,Hatchback,Black,Gasoline,Toyota,17477,Yaris Sedan,19988,LE,2020
JS3TE0D44D4100016,SUV,Gray,Gasoline,Suzuki,84921,Grand Vitara,11998,LX,2013
5YJ3E1EB5NF152802,Sedan,Blue,NULL,Tesla,3452,Model 3,64998,Long Range,2022
2LMHJ5AT9DBL53573,SUV,Kodiak Brown,Gasoline,Lincoln,125693,MKT,9850,EcoBoost,2013
1C4GJXAN1NW152632,SUV,Granite Crystal Clearcoat Metallic,Gasoline,Jeep,591,Wrangler,37998,Sport,2022
4JGDA7EB1JB002942,SUV,Selenite Gray Metallic,Gasoline,Mercedes-Benz,54804,AMG GLE 63,58500,Base 4MATIC,2018
2T2HGMDA2LC050445,SUV,Eminent White Pearl,Hybrid,Lexus,31500,RX 450h,52500,Base,2020
WDD2J5JB5KA012277,Sedan,Black,Gasoline,Mercedes-Benz,12726,CLS 450,63995,Base,2019
7JR102FK3LG038585,Sedan,Gray Metallic,Gasoline,Volvo,10349,S60,35788,T5 Momentum,2020
WBA7F2C51KB239075,Sedan,Black Sapphire Metallic,Gasoline,BMW,44732,750,55679,i xDrive,2019
LRBFXESX6GD243763,SUV,Summit White,Gasoline,Buick,44309,Envision,22679,Premium I,2016
2C3CCAEG7LH108684,Sedan,Velvet Red Pearlcoat,Gasoline,Chrysler,45976,300,29408,Limited,2020
WDD2J5KB5KA027702,Sedan,Lunar Blue Metallic,Gasoline,Mercedes-Benz,36736,CLS 450,58997,Base 4MATIC,2019
KMHEC4A49EA108717,Sedan,Black Onyx Pearl,Hybrid,Hyundai,89187,Sonata Hybrid,17991,Limited,2014
1GKS2BKC4GR168305,SUV,Midnight Amethyst Metallic,Gasoline,GMC,51049,Yukon,43495,SLT,2016
WUABAAFX7M7900636,Coupe,Audi Exclusive Color,Gasoline,Audi,4892,R8,189995,5.2 V10,2021
1GT120CG7EF173574,Pickup Truck,Summit White,E85 Flex Fuel,GMC,111126,Sierra 2500,31888,SLE,2014
LVYA22MT9LP155861,Sedan,Bursting Blue Metallic,Gasoline,Volvo,20653,S90,40999,T6 R-Design,2020
2C4RVABG0CR276391,Minivan,Blue,E85 Flex Fuel,Volkswagen,108299,Routan,7990,SE,2012
5TDDCRFHXES005835,SUV,Gray,Hybrid,Toyota,157000,Highlander Hybrid,18500,Limited,2014
JN8AZ2NDXC9715454,SUV,Moonlight White,Gasoline,INFINITI,102000,QX56,16843,Base,2012
JN8AZ2NFXD9530355,SUV,Black Obsidian,Gasoline,INFINITI,113916,QX56,25895,Base,2013
1FAHP60A34Y104618,Convertible,Silver,Gasoline,Ford,39844,Thunderbird,17921,Premium,2004
58AHZ1B11MU105489,Sedan,Obsidian Black,Gasoline,Lexus,14589,ES 350,50250,F Sport,2021
JM1GL1V52H1132053,Sedan,Charcoal,Gasoline,Mazda,74318,Mazda6,23850,Touring,2017
3MW5P9J09N8C28545,Sedan,Black,Hybrid,BMW,4157,330e,55998,xDrive,2022
1FADP5CU8GL120832,Hatchback,Oxford White,Hybrid,Ford,102747,C-Max Energi,15980,SEL,2016
ZASFAKBN5J7C26885,SUV,Vesuvio Gray Metallic,Gasoline,Alfa Romeo,40488,Stelvio,30995,Ti,2018
1GKS2CKJ8GR135568,SUV,Onyx Black,Gasoline,GMC,86220,Yukon,42487,Denali,2016
5TDZY5G11ES051877,SUV,Silver Sky Metallic,Gasoline,Toyota,63773,Sequoia,30950,SR5,2014
WP1AE2AY9KDA50184,SUV,Silver,Hybrid,Porsche,13891,Cayenne E-Hybrid,85880,Base,2019
WBS6C9C52FD467511,Sedan,Black Sapphire Metallic,Gasoline,BMW,81680,M6,41567,Gran Coupe,2015
JA3AH86F23U124757,Sedan,Blue,Gasoline,Mitsubishi,88298,Lancer Evolution,44999,Evolution,2003
JN8AY2ND5JX002151,SUV,Gun Metallic,Gasoline,Nissan,63110,Armada,26558,SV,2018
1G2MC35B58Y111861,Convertible,Green,Gasoline,Pontiac,79401,Solstice,11999,LX,2008
KNDMC5C12L6595588,Passenger Van,Snow White Pearl,Gasoline,Kia,17924,Sedona,43988,SX,2020
1GKS2AEC5GR269147,SUV,Quicksilver Metallic,Gasoline,GMC,97021,Yukon,31968,SLE,2016
JF2GTDNCXKH390045,SUV,Lagoon Blue Pearl,Hybrid,Subaru,29871,Crosstrek Hybrid,36998,Base,2019
WBA8Y3C30HG450847,Hatchback,Arctic Gray Metallic,Gasoline,BMW,53426,340 Gran Turismo,26495,i xDrive,2017
JTDZN3EU6HJ072610,Wagon,White,Hybrid,Toyota,76788,Prius v,27995,Four,2017
WD3PG2EA8H3251604,Cargo Van,White,Gasoline,Mercedes-Benz,109015,Metris,24999,LX,2017
19UUA66255A051328,Sedan,White Diamond Pearl,Gasoline,Acura,248620,TL,4885,Base (A5),2005
1G6AN5SY1H0170422,Sedan,Gray,Gasoline,Cadillac,59976,ATS-V,44999,Base,2017
W1K5J5DB5LN093140,Sedan,Denim Blue Metallic,Gasoline,Mercedes-Benz,13857,AMG CLA 45,58326,Base 4MATIC,2020
1C4RJEAG1LC106327,SUV,Bright White Clearcoat,Gasoline,Jeep,43312,Grand Cherokee,29000,Laredo,2020
JN8AY2NE1H9701493,SUV,Gray,Gasoline,Nissan,98246,Armada,28999,Platinum,2017
1FM5K7F97FGA35872,SUV,Gray,Gasoline Fuel,Ford,98000,Explorer,18900,Limited,2015
3VV4B7AX0NM018214,SUV,Atlantic Blue,Gasoline,Volkswagen,3479,Tiguan,40491,2.0T SEL R-Line,2022
KM8K33AG7LU093556,SUV,Galactic Gray,Electric,Hyundai,8487,Kona EV,39991,Limited,2020
1GAZGMFPXK1369307,Passenger Van,Summit White,Gasoline,Chevrolet,47403,Express 3500,37759,LT,2019
SJKCH5CR5HA028800,SUV,Blade Silver,Gasoline,INFINITI,45553,QX30,26900,Premium,2017
WDCYC3HF0EX222924,SUV,Polar White,Gasoline,Mercedes-Benz,68703,G-Class,71995,G 550,2014
5NTJDDAF0NH016925,Pickup Truck,Hampton Gray,Gasoline,Hyundai,2592,Santa Cruz,42994,2.5T SEL Premium,2022
1P3EW65G1YV602403,Convertible,Black,Gasoline,Plymouth,16401,Prowler,35911,Base,2000
JN1EV7CP8NM310764,Sedan,Midnight Black,Gasoline,INFINITI,4832,Q50,46500,SENSORY,2022
4T1BZ1FB7KU027328,Sedan,Red,Gasoline,Toyota,34588,Avalon,34293,Limited,2019
2C3CCAAG3LH212675,Sedan,Gloss Black,Gasoline,Chrysler,38973,300,29995,Touring,2020
WBA6A0C50FD318763,Sedan,Black Sapphire Metallic,Gasoline,BMW,79177,640 Gran Coupe,30999,i,2015
2C3CDYCJ4DH672136,Coupe,Plum Crazy Pearlcoat,Gasoline,Dodge,78765,Challenger,27425,SRT8,2013
KM8R2DHE0MU201903,SUV,Becketts Black,Gasoline,Hyundai,11290,Palisade,47521,SEL,2021
5N1CL0MN6GC508780,SUV,Majestic White,Hybrid,INFINITI,97010,QX60 Hybrid,26999,Base,2016
1G1ZD5STXJF133601,Sedan,Silver Ice Metallic,Gasoline,Chevrolet,88604,Malibu,20500,LT,2018
3N63M0ZN0HK702143,Cargo Van,Designer White,Gasoline,Chevrolet,60132,City Express,21980,1LT,2017
WAUABAF46NN002809,Sedan,Ibis White,Gasoline,Audi,530,A4,43999,40 Premium,2022
1C4RJKBG1N8526933,SUV,Metallic,Gasoline,Jeep,4343,Grand Cherokee L,51995,Limited,2022
5YJXCDE21LF284140,SUV,Gray,Electric,Tesla,30296,Model X,102900,Long Range,2020
1FMJU1JT9HEA73613,SUV,Oxford White,Gasoline,Ford,85594,Expedition,32108,LX,2017
5YJYGAEE8MF113128,SUV,Gray,Electric Fuel System,Tesla,15000,Model Y,79000,Long Range,2021
WDDPK6GA7KF157749,Convertible,Black,Gasoline,Mercedes-Benz,3518,AMG SLC 43,58987,Base,2019
YV4102WK3M1066555,Wagon,Onyx Black Metallic,Gasoline,Volvo,29604,V60 Cross Country,45600,T5,2021
1FACP44E7PF155728,Convertible,White,Gasoline,Ford,49728,Mustang,27490,LX 5.0L Sport,1993
1FATP8FF2H5220604,Convertible,Black,Gasoline,Ford,39695,Mustang,34997,GT Premium,2017
2LMTJ6LR8GBL21980,SUV,Allure Blue,Gasoline,Lincoln,31145,MKX,28888,Reserve,2016
19UUB1F60LA800505,Sedan,Majestic Black Pearl,Gasoline,Acura,10825,TLX,38500,A-Spec,2020
WDDTG5CB6JJ497592,SUV,Midnight Black,Gasoline,Mercedes-Benz,16165,AMG GLA 45,47999,Base 4MATIC,2018
LRBFZPR47MD049658,SUV,Satin Steel Metallic,Gasoline,Buick,11763,Envision,39903,Essence,2021
JF1ZNAA17L8752764,Coupe,OCEANIC [BLUE],Gasoline,Toyota,14668,86,28100,2DR CPE AT,2020
WBAEH73414B190257,Coupe,Black,Gasoline,BMW,94145,645,11995,Ci,2004
5FRYD4H91HB020206,SUV,Black Copper Pearl,Gasoline,Acura,47264,MDX,41888,3.5L w/Advance & Entertainment Pkgs,2017
WAU43AFD0HN014386,Sedan,Moonlight Blue Metallic,Gasoline,Audi,29152,A8,46500,L 4.0T Sport,2017
WA1FNAFY1L2097601,SUV,Matador Red Metallic,Gasoline,Audi,8467,Q5,50429,45 Titanium Premium,2020
1C6RR7GTXDS530175,Pickup Truck,Bright Silver Clearcoat Metallic,Gasoline,RAM,150477,1500,15799,SLT,2013
YV4162UM1K2112953,SUV,Bursting Blue Metallic,Gasoline,Volvo,45339,XC40,34495,T5 R-Design,2019
WBA7F0C57KGM25047,Sedan,Magellan Gray Metallic,Gasoline,BMW,30112,750,62950,i,2019
1GTU9FED5LZ365263,Pickup Truck,Summit White,Gasoline,GMC,13323,Sierra 1500,62199,Denali,2020
5GAEVCKW4LJ214063,SUV,Ebony Twilight Metallic,Gasoline,Buick,15873,Enclave,46000,Avenir,2020
WDDEJ71X28A011861,Coupe,Designo Mystic White,Gasoline,Mercedes-Benz,44440,CL-Class,34800,CL 550,2008
3D73Y3CL9AG166971,Pickup Truck,Bright Silver Clearcoat Metallic,Diesel,Dodge,98500,Ram 3500,42411,Laramie,2010
3C63R3JL7HG527142,Pickup Truck,White,Diesel,RAM,141187,3500,49800,Laramie,2017
W1K2J6BB7LA071059,Sedan,Gray Metallic,Gasoline,Mercedes-Benz,22100,AMG CLS 53,72993,Base 4MATIC,2020
2T2BGMCA9JC026227,SUV,Nebula Gray Pearl,Hybrid,Lexus,47466,RX 450h,41998,F Sport,2018
1V2JC2CA7MC230374,SUV,Pure White,Gasoline,Volkswagen,12818,Atlas Cross Sport,41777,2.0T SE w/Technology,2021
SALYB2EX8LA261768,SUV,Indus Silver,Gasoline,Land Rover,19618,Range Rover Velar,54990,S,2020
2HNYD18872H512600,SUV,Silver,Gasoline,Acura,179000,MDX,4249,Touring,2002
