vin,bodystyle,exterior_color,fuel_type,make,mileage,model,price,trim,year
5UXCR6C56KLK86952,SUV,Mineral White Metallic,Gasoline,BMW,37617,X5,53854,xDrive40i,2019
1FM5K8GT9KGA73288,SUV,Magnetic Metallic,Gasoline,Ford,68081,Explorer,37680,sport,2019
KNDMB5C19K6533963,Passenger Van,Silky Silver,Gasoline,Kia,64039,Sedona,31995,LX,2019
3GNAXSEVXJS602406,SUV,Pepperdust Metallic,Gasoline,Chevrolet,44632,Equinox,25494,1LT,2018
2G1FP32G022147155,Convertible,Bright Rally Red,Gasoline,Chevrolet,13750,Camaro,28965,Z28,2002
19UUB1F3XLA007945,Sedan,Black,Gasoline,Acura,25165,TLX,25990,FWD,2020
JF1ZNAA1XF8703868,Coupe,Black,Gasoline,Scion,42896,FR-S,22990,Base,2015
1GNKVJKD4HJ309256,SUV,Tungsten Metallic,Gasoline,Chevrolet,49440,Traverse,29500,Premier,2017
5J8YD4H50LL000051,SUV,Gray,Gasoline,Acura,32796,MDX,43998,3.5L w/Technology Package,2020
1C4RJFBG8LC178873,SUV,Granite Crystal Clearcoat Metallic,Gasoline,Jeep,23805,Grand Cherokee,37542,Limited,2020
JTHC81F28M5045313,Sedan,Atomic Silver,Gasoline,Lexus,11805,IS 300,46900,Base,2021
WDDSJ4GB0KN765077,Sedan,Polar White,E85 Flex Fuel,Mercedes-Benz,19912,CLA 250,34600,Base 4MATIC,2019
4S4BSANC1K3214987,SUV,Ice Silver Metallic,Gasoline,Subaru,14715,Outback,30801,2.5i Limited,2019
5J8YD3H39KL008740,SUV,Lunar Silver Metallic,Gasoline,Acura,14510,MDX,40000,3.5L,2019
WBS1H9C57HV886740,Coupe,Blue Metallic,Gasoline,BMW,44018,M2,48442,Base,2017
5YJYGDEF5LF003436,SUV,Pearl White Multi,Electric,Tesla,13913,Model Y,65994,Performance,2020
5FNYF5H56NB010054,SUV,Crystal Black Pearl,Gasoline,Honda,11042,Pilot,43789,EX-L,2022
4JGFB8KB3MA307739,SUV,Black,Gasoline,Mercedes-Benz,11979,AMG GLE 63,146777,S-Model 4MATIC,2021
YV4A22PK0K1421504,SUV,Osmium Gray Metallic,Gasoline,Volvo,48340,XC90,40994,T6 Momentum,2019
1GYKNCRS0LZ212309,SUV,Manhattan Noir Metallic,Gasoline,Cadillac,24948,XT5,40654,Premium Luxury,2020
1GNSKHKC7KR295886,SUV,Silver Ice Metallic,Gasoline,Chevrolet,43514,Suburban,53574,LT,2019
JTHCM1D2XG5010906,Sedan,Gray,Gasoline,Lexus,74397,IS 300,22450,Base,2016
5J6RW1H89KA029915,SUV,Crystal Black Pearl,Gasoline,Honda,24992,CR-V,31542,EX-L,2019
2T2BZMCA6KC211539,SUV,Nightfall Mica,Gasoline,Lexus,19130,RX 350,40408,Base,2019
1C4RJFBG5KC661610,SUV,Black,Gasoline,Jeep,34200,Grand Cherokee,35998,Limited,2019
5YJ3E1EB1MF860012,Sedan,Black,Gasoline,Tesla,22251,Model 3,59777,Long Range,2021
WA1EECF37M1144388,SUV,Ibis White,Gasoline,Audi,12051,Q3,44561,45 S line Premium,2021
WP0CB2A84HS241602,Convertible,Black,Gasoline,Porsche,19866,718 Boxster,69990,S,2017
1C4SDJCT1MC574989,SUV,White Knuckle Clearcoat,Gasoline,Dodge,18640,Durango,50702,R/T,2021
JM3KFBDM7L0854009,SUV,Sonic Silver Metallic,Gasoline,Mazda,12539,CX-5,33078,Grand Touring,2020
1FM5K7D84JGC01168,SUV,Gray,Gasoline,Ford,37585,Explorer,30998,XLT,2018
3N1AB8CV6MY275164,Sedan,Black,Gasoline,Nissan,35687,Sentra,21998,SV,2021
SALWV2SE0LA878373,SUV,Fuji White,Gasoline,Land Rover,26126,Range Rover Sport,109995,Autobiography,2020
5TFUX4EN3FX034085,Pickup Truck,Black,Gasoline,Toyota,30000,Tacoma,25995,Base,2015
5UXCR6C55KLL38474,SUV,Alpine White,Gasoline,BMW,46717,X5,52998,xDrive40i,2019
WVWTR7AN8KE000503,Sedan,Manganese Gray Metallic,Gasoline,Volkswagen,46542,Arteon,31000,2.0T SEL Premium R-Line,2019
5J8YD3H52LL017346,SUV,Lunar Silver Metallic,Gasoline,Acura,11223,MDX,42985,3.5L w/Technology Package,2020
1FM5K8FH5JGC86489,SUV,Shadow Black,Gasoline,Ford,43498,Explorer,37577,Limited,2018
SBM14FCA9LW004346,Convertible,Memphis Red,Gasoline,McLaren,4610,720S,318880,Base,2020
1G6AB5SX5J0133959,Sedan,White,Gasoline Fuel,Cadillac,28000,ATS,29000,2.0L Turbo Luxury,2018
JNKCV61F69M360771,Sedan,Liquid Platinum,Gasoline,INFINITI,138122,G37x,12999,Base,2009
1GKS2GKC8LR232840,SUV,Crimson Red Tintcoat,Gasoline,GMC,41018,Yukon XL,54938,SLT,2020
1YVHP80C675M56955,Sedan,Violet Gray,Gasoline,Mazda,110994,Mazda6,5999,iSport VE,2007
2LMPJ6LR8JBL22006,SUV,Velvet,Gasoline,Lincoln,36580,MKX,34911,Reserve,2018
1G1YB3D45N5104384,Convertible,Accelerate Yellow Metallic,Gasoline,Chevrolet,1375,Corvette,113000,Stingray w/2LT,2022
1C4RJFCG0KC638167,SUV,Diamond Black,Gasoline,Jeep,23261,Grand Cherokee,45389,Altitude,2019
5TDYY5G15CS037893,SUV,Super White,Gasoline,Toyota,167801,Sequoia,21900,Platinum,2012
1FA6P8TH9M5116382,Coupe,Orange,Gasoline,Ford,25071,Mustang,29000,EcoBoost,2021
5YJ3E1EA0KF425258,Sedan,Pearl White Multi,Electric,Tesla,24082,Model 3,46949,Standard Range Plus,2019
1FMCU9J97KUC50474,SUV,Red,Gasoline,Ford,36685,Escape,25990,Titanium,2019
W1KWF8DB6MR632012,Sedan,Black,Gasoline,Mercedes-Benz,17888,C-Class,41998,C 300,2021
JTEZU5JR1J5175203,SUV,Blizzard Pearl,Gasoline,Toyota,87098,4Runner,36800,Limited,2018
5UXCR6C5XKLL25171,SUV,Black Sapphire Metallic,Gasoline,BMW,59784,X5,47995,xDrive40i,2019
5UXTY5C04L9B22263,SUV,Alpine White,Gasoline,BMW,48769,X3,41988,xDrive30i,2020
WDDJK7DA3KF054750,Convertible,designo Cardinal Red Metallic,Gasoline,Mercedes-Benz,6703,SL 550,89998,Base,2019
JTMDFREV7FD113101,SUV,White,Gasoline,Toyota,123011,RAV4,19950,Limited,2015
5YJ3E1EA9MF019322,Sedan,Deep Blue Metallic,NULL,Tesla,10957,Model 3,56404,Standard Range Plus,2021
WBA4J3C50JBG95576,Hatchback,Jet Black,Gasoline,BMW,64782,430 Gran Coupe,26989,i xDrive,2018
ZC2FS1204MB207048,Convertible,Arctic White,Gasoline,Chrysler,16342,TC by Maserati,19000,Base,1991
1C6SRFJT2NN257558,Pickup Truck,Diamond Black,Gasoline,RAM,17077,1500,54277,Laramie,2022
JM3KFBCM0M0498960,SUV,Jet Black Mica,Gasoline,Mazda,3966,CX-5,35488,Touring,2021
1GT12SEY4KF280482,Pickup Truck,Summit White,Diesel,GMC,88086,Sierra 2500,62929,Denali,2019
KNDPMCAC1M7915532,SUV,White,Gasoline,Kia,23136,Sportage,23499,LX,2021
JF2GPACC8D2804287,SUV,Crystal Black Silica,Gasoline,Subaru,84748,XV Crosstrek,13495,2.0i Premium,2013
7SAYGDEF1NF388886,SUV,White,Electric,Tesla,13351,Model Y,76998,Performance,2022
2FMPK4K97KBC06635,SUV,Black,Gasoline,Ford,32850,Edge,33950,Titanium,2019
5YJYGDEE6LF016784,SUV,Pearl White,Electric,Tesla,47656,Model Y,66000,Long Range,2020
WBS4Y9C51JAC86471,Coupe,Black Sapphire Metallic,Gasoline,BMW,16004,M4,61500,Base,2018
5N1DL0MM7JC506989,SUV,Black,Gasoline,INFINITI,54316,QX60,28295,Base,2018
WP0BB2A99KS125629,Coupe,Black,Gasoline,Porsche,11219,911,168996,4 GTS,2019
5UXCR6C56KLL05192,SUV,Black Sapphire Metallic,Gasoline,BMW,42538,X5,50488,xDrive40i,2019
SADFP2FX4L1Z83919,SUV,Narvik Black,Gasoline,Jaguar,15244,E-PACE,44999,SE,2020
1GNSKPKD9MR339876,SUV,Blue,Gasoline,Chevrolet,33674,Tahoe,74642,Z71,2021
5UXTS3C53K0Z09691,SUV,Black Sapphire Metallic,Gasoline,BMW,18763,X3,50995,M40i,2019
1HGCR2F61HA029055,Sedan,Black,Gasoline,Honda,69374,Accord,26122,Sport SE,2017
JM3KFBCM0K0622335,SUV,Sonic Silver Metallic,Gasoline,Mazda,18236,CX-5,27523,Touring,2019
4JGDF6EE4KB240016,SUV,Selenite Gray Metallic,Gasoline,Mercedes-Benz,47934,GLS 450,49888,Base 4MATIC,2019
5YJYGDEE2MF183452,SUV,SELECT,Electric,Tesla,11852,Model Y,68995,Long Range,2021
WBAWR33508P153289,Convertible,Black Sapphire Metallic,Gasoline,BMW,56497,328,19977,i,2008
1FM5K8D85EGB32258,SUV,Merlot,Gasoline,Ford,152750,Explorer,15985,XLT,2014
